iter	Logloss
0	0.6687104517
1	0.6447862843
2	0.6234631929
3	0.6043646333
4	0.5872140511
5	0.571120158
6	0.5551845584
7	0.5440822805
8	0.5334781347
9	0.5230985665
10	0.5146651076
11	0.5060739373
12	0.497765289
13	0.4912815713
14	0.484064382
15	0.4774016711
16	0.4625786983
17	0.4580892601
18	0.453399349
19	0.4478046575
20	0.4429087172
21	0.4385943678
22	0.4323968495
23	0.4291581178
24	0.4241653888
25	0.4114194823
26	0.4056401017
27	0.4019349969
28	0.3958993141
29	0.3925858328
30	0.3898968399
31	0.3866311429
32	0.3820407872
33	0.3800399303
34	0.37764163
35	0.3759424574
36	0.3736291643
37	0.371813555
38	0.365623244
39	0.3630111576
40	0.3618794116
41	0.3601199413
42	0.3589661547
43	0.3565689864
44	0.3539497648
45	0.3496853088
46	0.3476810803
47	0.3460275196
48	0.3384442889
49	0.3349845722
50	0.3325543978
51	0.3296113869
52	0.3280176885
53	0.3258886521
54	0.3250473317
55	0.3235840276
56	0.3223898085
57	0.3218149413
58	0.3201304092
59	0.3195606695
60	0.3178514078
61	0.3169580909
62	0.315540094
63	0.3150869143
64	0.3133745249
65	0.3129569239
66	0.312090134
67	0.3114129461
68	0.310115869
69	0.3087637115
70	0.3077515406
71	0.307223861
72	0.3057022832
73	0.3037316086
74	0.3029255609
75	0.3018905174
76	0.3004351675
77	0.2993148546
78	0.2960552174
79	0.2957223327
80	0.2943317218
81	0.2940656861
82	0.2937124391
83	0.2925146576
84	0.2917114682
85	0.291013674
86	0.2904780732
87	0.2895049398
88	0.2889243956
89	0.2886464715
90	0.2881320624
91	0.2874718425
92	0.2859903887
93	0.2857500473
94	0.2850177189
95	0.2848465696
96	0.2838702708
97	0.2835467627
98	0.2830487017
99	0.2828203106
100	0.2825865285
101	0.2823747509
102	0.281859785
103	0.2815096255
104	0.2812724579
105	0.280923027
106	0.2804762989
107	0.2801438098
108	0.2796283368
109	0.2785980814
110	0.27814078
111	0.2779728169
112	0.2775628272
113	0.2769409066
114	0.2755910748
115	0.2748912369
116	0.2746820343
117	0.2744518913
118	0.2739611996
119	0.2737015988
120	0.2733227025
121	0.2726449836
122	0.27186637
123	0.2716972899
124	0.2714440573
125	0.2713218464
126	0.2709679138
127	0.2708215338
128	0.2706741987
129	0.2700698234
130	0.2696518416
131	0.2689457294
132	0.2685672268
133	0.268153203
134	0.2676178483
135	0.267454789
136	0.2673310025
137	0.267190972
138	0.2670110948
139	0.2668186312
140	0.2664756855
141	0.2656244168
142	0.2651269053
143	0.2646406422
144	0.2643997101
145	0.2640503461
146	0.2634972925
147	0.2633227048
148	0.2631637403
149	0.2628578323
150	0.2623750583
151	0.2621662979
152	0.2620254469
153	0.2618639698
154	0.2615039034
155	0.2611781646
156	0.2610415112
157	0.2603634795
158	0.259919039
159	0.2588898473
160	0.2587382556
161	0.2575786072
162	0.2574018617
163	0.2571549574
164	0.2564327259
165	0.256316572
166	0.2561482269
167	0.2552265255
168	0.2549626373
169	0.2546155975
170	0.2543164013
171	0.2539994753
172	0.2539183818
173	0.25381449
174	0.2536708064
175	0.2535540174
176	0.2534319289
177	0.2533011681
178	0.2531930918
179	0.2530866796
180	0.2529708707
181	0.252843617
182	0.2524604754
183	0.2522669672
184	0.2518124454
185	0.2517454776
186	0.2515649908
187	0.2514132186
188	0.2510426299
189	0.2509227095
190	0.2508328387
191	0.250742393
192	0.2506785865
193	0.2504797636
194	0.2504002979
195	0.2503037128
196	0.2497064132
197	0.2495879423
198	0.2494755866
199	0.2493478369
200	0.2489726931
201	0.2488382625
202	0.2486564168
203	0.2480960846
204	0.2479965926
205	0.2472772936
206	0.2471808039
207	0.24691961
208	0.2468525774
209	0.2467952874
210	0.2466524508
211	0.2462723585
212	0.2461858551
213	0.2459789768
214	0.2456782181
215	0.2455415812
216	0.245111812
217	0.2449186191
218	0.2448274236
219	0.2441173623
220	0.2440619634
221	0.2437518887
222	0.2436852495
223	0.2433171721
224	0.243252386
225	0.2431440028
226	0.2430109298
227	0.2429022308
228	0.2426413806
229	0.2425132275
230	0.2424219025
231	0.2423378103
